DateTime,CLOSE,PCR1,PCR2,PCR3,RSI,ZSCORE, PE_M2M ,SIGNAL
2024-10-14 10:30:00+05:30,114.35,3.35,1.675,3.35,41.58475483,34.79015763,3.35,
2024-10-14 10:30:00+05:30,114.35,1.6,0.8,1.6,42.758198,34.873975,1.6,
2024-10-14 10:30:00+05:30,114.35,2.4,1.2,2.4,42.21365422,34.83507901,2.4,
2024-10-14 10:31:00+05:30,114.35,4.75,2.375,4.75,40.69137725,34.72634494,4.75,
2024-10-14 10:31:00+05:30,114.35,5.4,2.7,5.4,40.28951404,34.69764043,5.4,
2024-10-14 10:31:00+05:30,114.35,6.5,3.25,6.5,39.62722308,34.65033393,6.5,
2024-10-14 10:31:00+05:30,114.35,6.6,3.3,6.6,39.5680929,34.64611035,6.6,
2024-10-14 10:31:00+05:30,114.35,8.75,4.375,8.75,38.33814929,34.55825723,8.75,
2024-10-14 10:32:00+05:30,114.35,5.5,2.75,5.5,40.22839238,34.69327459,5.5,
2024-10-14 10:32:00+05:30,114.35,6.05,3.025,6.05,39.89551072,34.66949733,6.05,
2024-10-14 10:32:00+05:30,114.35,3.8,1.9,3.8,41.29334966,34.76934297,3.8,
2024-10-14 10:32:00+05:30,114.35,2.15,1.075,2.15,42.38232826,34.84712716,2.15,
2024-10-14 10:32:00+05:30,114.35,3.55,1.775,3.55,41.45473525,34.78087051,3.55,
2024-10-14 10:33:00+05:30,112.4,2.55,1.275,2.55,42.19274258,35.60775112,2.55,
2024-10-14 10:33:00+05:30,112.4,4.4,2.2,4.4,40.83356719,35.51066716,4.4,
2024-10-14 10:33:00+05:30,112.4,4.35,2.175,4.35,40.86745317,35.51308759,4.35,
2024-10-14 10:33:00+05:30,112.4,4.15,2.075,4.15,41.00356137,35.5228096,4.15,
2024-10-14 10:33:00+05:30,112.4,2.9,1.45,2.9,41.87521471,35.58507056,2.9,
2024-10-14 10:34:00+05:30,112.4,2.8,1.4,2.8,41.94655066,35.59016598,2.8,
